trial,r1_mm,r2_mm,r3_mm,r4_mm,Vwork_V,initialTmax_K,Tmin_K,Tmean_K,U_pct,maxErosionTmax_K,lifetimeH,R_L_pct,eta_L_pct,initialP03sphere_W,initialPradSphere_W,lifeAvgP03sphere_W,lifeAvgPradSphere_W,lifeTotalP03sphere_J,eta_E_pct,objectiveScore,uPenalty_pctpt,U_limit_pct,selfViewLoss_pct,failureReached,erosionSteps,overtempStep,overtempTimeH,overtempTmax_K,runnerStatus,status,voltagePolicy,voltageObjective,elapsed_sec
0,2.504209635165475,1.9005654803416379,3.2498747663099166,2.1342677810856405,1.171875,3190.8406956328276,293.1489962391017,2006.3325800457644,144.42728629406147,3247.5914816959944,314.14696494645995,129.7703682524685,29.770368252468504,188.75158248677576,202.62106729118602,154.0454584496411,166.53845431259126,174214487.6486667,64.97947119829011,64.97947119829011,0.0,178.4313175141917,0.0,True,33,,,,OK,OK,max_safe,lifeTotalP03sphere_J,865.5
1,1.9029923667405568,2.0424157994940186,3.546293093018464,2.151967251728966,1.171875,3155.9899994983066,293.1507521657987,2272.4623271759415,125.97961308737055,3223.839856672533,349.6738591643962,144.44610496160342,44.446104961603424,216.67683376244685,232.94353449532787,180.40812620095434,195.24510954662597,227102420.56789845,115.06384319025558,115.06384319025558,0.0,178.4313175141917,0.0,True,36,,,,OK,OK,max_safe,lifeTotalP03sphere_J,1122.9
2,2.110731712870309,1.9713052434873537,3.6401784484204445,1.8460412067281062,1.171875,3213.9959035588176,293.15007944988974,2012.5224458638706,145.13357752167389,3264.316693240235,420.167940159945,173.56636990502187,73.56636990502187,164.92962611926973,179.27591624596926,127.2742637694357,139.7207994084103,192515634.87615833,82.31048443757125,82.31048443757125,0.0,178.4313175141917,0.0,True,44,,,,OK,OK,max_safe,lifeTotalP03sphere_J,1308.9
3,2.153134363901934,1.9639996919820948,3.5261017606419385,2.0182477534922896,1.171875,3192.914065111171,293.1500504143461,2097.187396114813,138.26918949011622,3250.4024963660318,356.6698755826249,147.3360759885353,47.336075988535306,188.50656044256365,203.44023909404208,150.79430509374018,164.07879180976974,193621629.7308697,83.35785109886918,83.35785109886918,0.0,178.4313175141917,0.0,True,37,,,,OK,OK,max_safe,lifeTotalP03sphere_J,1074.6
4,1.8121559788483854,2.1148379328852895,3.339534291515024,2.468007686728056,1.220703125,3239.94889274366,293.1482829649853,2514.2117040470757,117.20574703535385,3274.414947079251,45.56705065542229,,,281.08855400755317,298.6219641482571,268.33672946492965,285.4975995803276,44018328.039259665,,,,178.4313175141917,0.0,False,6,6,45.56705065542229,3274.414947079251,FAIL_OVERTEMP_DURING_EROSION,FAIL_OVERTEMP_DURING_EROSION,max_safe,lifeTotalP03sphere_J,314.8
5,2.339299047844433,1.8845203937875938,3.3143009882607535,2.2342049613602093,1.171875,3163.7532608398637,293.1501999517734,2130.0252232196403,134.76850084193038,3227.94213450557,317.73113540977977,131.2509463665493,31.250946366549293,209.816259126111,224.70138956154443,176.15412538996182,189.8031522567716,201490740.9621694,90.80982496890964,90.80982496890964,0.0,178.4313175141917,0.0,True,32,,,,OK,OK,max_safe,lifeTotalP03sphere_J,842.8
6,2.4551084564364034,1.6675084160346092,3.412415395919572,2.132435067072215,1.220703125,3244.8624355795073,293.14513213356094,2154.0038270997197,137.03398602686403,3278.9468653513186,43.014261813626995,,,253.12052736940086,269.6429529432637,240.3788711493837,256.50505740398455,37222990.913101315,,,,178.4313175141917,0.0,False,5,5,43.014261813626995,3278.9468653513186,FAIL_OVERTEMP_DURING_EROSION,FAIL_OVERTEMP_DURING_EROSION,max_safe,lifeTotalP03sphere_J,297.9
7,1.9415349059946523,2.0688517535483064,3.426321074511981,2.282677928442709,1.171875,3151.4085589064234,293.1488437260667,2306.457798224851,123.92421475824081,3218.8282827483868,328.9068018626534,135.8674810235158,35.86748102351579,223.69499369282477,239.71905118519936,189.38195099994817,204.14292966264466,224240442.6020497,112.3535771397128,112.3535771397128,0.0,178.4313175141917,0.0,True,34,,,,OK,OK,max_safe,lifeTotalP03sphere_J,1075.9
8,2.039882837736797,1.9989532293860324,3.364989670352292,2.349448555184045,1.171875,3146.951183169318,293.14930436846754,2292.791222113692,124.46845797717117,3213.824849286469,323.4910429370052,133.6302955384746,33.630295538474606,226.6358041919292,242.3829312982971,194.08025080067014,208.685536873728,226019601.88194358,114.0384241414522,114.0384241414522,0.0,178.4313175141917,0.0,True,34,,,,OK,OK,max_safe,lifeTotalP03sphere_J,1282.8
9,2.4285762446010155,2.1469180596344066,3.332382534267907,1.8406485038381069,1.171875,3261.649760275685,293.15048386745366,1794.7707981594676,165.39712365792997,3273.773054894047,130.0,,,126.77125516909383,138.19858302341936,116.10777302483272,126.96970974861635,54338437.77562171,,,,178.4313175141917,0.0,False,13,13,130.0,3273.773054894047,FAIL_OVERTEMP_DURING_EROSION,FAIL_OVERTEMP_DURING_EROSION,max_safe,lifeTotalP03sphere_J,452.8
10,2.7661488760308486,1.745286253779486,3.0604566617485975,2.221711347038645,1.171875,3153.810047604086,293.14761693048195,1950.414968635411,146.6694255671673,3217.5741311698125,305.2001823035925,126.07455894093313,26.074558940933134,198.73557811326276,212.28807110406302,169.80683981171325,182.35436979412154,186570282.48095453,76.68029198063687,76.68029198063687,0.0,178.4313175141917,0.0,True,32,,,,OK,OK,max_safe,lifeTotalP03sphere_J,870.0
11,2.021072336211096,2.026577269474242,3.7907138389564405,1.5616464945040132,1.171875,3252.328564025006,293.1559321154486,1820.8140227813303,162.51921365309792,3273.6718627066293,320.0,,,116.34115851130036,128.65183950515893,98.41362225704475,109.56810581068126,113372492.84011555,,,,178.4313175141917,0.0,False,32,32,320.0,3273.6718627066293,FAIL_OVERTEMP_DURING_EROSION,FAIL_OVERTEMP_DURING_EROSION,max_safe,lifeTotalP03sphere_J,1182.1
