rank,trial,pareto,radii_full_mm,r1_mm,r2_mm,r3_mm,r4_mm,Vwork_V,objectiveScore,eta_E_pct,R_L_pct,eta_L_pct,lifetimeH,lifeTotalP03sphere_J,U_pct,U_delta_pctpt_vs_B2,U_relative_reduction_pct_vs_B2,initialP03sphere_W,lifeAvgP03sphere_W,maxErosionTmax_K,overtemp_margin_K,erosionSteps,note
1,68,True,"[1.9064, 1.9424, 3.6475, 2.0709, 2.0709, 3.6475, 1.9424, 1.9064]",1.9063832640319742,1.9423869762989763,3.6474884452463625,2.0709089131869587,1.171875,130.76181255488152,130.76181255488152,156.2859807152343,56.285980715234295,378.33572614862254,243679111.41385093,127.03670684533598,-21.656057749823773,14.56429827556567,215.95999424026604,178.9115787410802,3220.3735801615658,52.77641983843432,39,C5 lead cylinder candidate
2,36,True,"[1.9865, 1.9347, 3.5532, 2.1645, 2.1645, 3.5532, 1.9347, 1.9865]",1.9865060081869466,1.934746080855281,3.5532259518412808,2.1645176869718386,1.171875,127.60287969412285,127.60287969412285,148.72869697134328,48.72869697134327,360.04112019694816,240343351.72292453,126.62719007407215,-22.065574521087612,14.83970963964839,220.91567825296886,185.42893686348083,3217.544903921856,55.605096078144015,37,Pareto candidate
3,70,False,"[1.9077, 1.9515, 3.6439, 2.0674, 2.0674, 3.6439, 1.9515, 1.9077]",1.9076791561979083,1.9515414342452395,3.6439130112784732,2.067400356405967,1.171875,127.39222162378864,127.39222162378864,155.30380819068276,55.303808190682766,375.9580915483925,240120901.69610745,127.38138690288923,-21.311377692270526,14.332491396130953,214.4954481491192,177.414057498894,3222.338351316651,50.811648683349176,39,
4,79,True,"[1.8657, 1.9738, 3.6715, 2.0357, 2.0357, 3.6715, 1.9738, 1.8657]",1.8656837671883681,1.9737686943796124,3.6714506131562015,2.035659995453998,1.171875,127.04184085107877,127.04184085107877,157.5419138140316,57.54191381403161,381.3760779367548,239750907.74257955,127.3629550523048,-21.32980954285496,14.34488732584187,212.12569313611996,174.6241524461398,3223.715288255278,49.43471174472188,40,Pareto candidate
5,59,True,"[1.8957, 1.9786, 3.6203, 2.0940, 2.0940, 3.6203, 1.9786, 1.8957]",1.8956952988470817,1.97856186909743,3.6203054022000143,2.0940441874239792,1.171875,126.57827129052957,126.57827129052957,152.8748512785391,52.874851278539104,370.07809404040097,239261389.05947304,126.53443298789944,-22.158331607260322,14.90209134761196,216.4220258163948,179.58776277557573,3221.325017418814,51.824982581186305,38,Pareto candidate
6,22,True,"[1.8786, 2.0036, 3.6133, 2.0978, 2.0978, 3.6133, 2.0036, 1.8786]",1.8785545569579214,2.0035942212805673,3.6132860871865278,2.097809959249888,1.171875,124.82818165067235,124.82818165067235,151.84522498763943,51.84522498763941,367.58558378038583,237413335.06989202,126.20504708182214,-22.487717513337614,15.123612486837596,216.19062223751712,179.40896362770937,3221.7441379213774,51.405862078622704,38,Pareto candidate
7,45,True,"[1.8473, 2.0454, 3.6129, 2.0858, 2.0858, 3.6129, 2.0454, 1.8473]",1.8472934117208126,2.0454431446423897,3.612930811148395,2.0857613350771778,1.171875,120.30055234167021,120.30055234167021,150.74851161275177,50.748511612751756,364.9306696980981,232632263.7365814,126.08709352589183,-22.605671069267927,15.202939518150426,214.16462107381352,177.07493128385389,3223.990001574195,49.15999842580504,38,Pareto candidate
8,31,True,"[2.0184, 1.9993, 3.3772, 2.3502, 2.3502, 3.3772, 1.9993, 2.0184]",2.018404093807521,1.9993309685218363,3.37717661066063,2.3501912119692214,1.171875,119.0057779769655,119.0057779769655,135.5041752137284,35.504175213728395,328.02731435692266,231265012.09654826,123.77262582959084,-24.92013876556892,16.75948310828577,228.2737470302093,195.83820714402756,3211.792730886788,61.35726911321217,34,Pareto candidate
9,46,False,"[1.8513, 2.0449, 3.6169, 2.0759, 2.0759, 3.6169, 2.0449, 1.8513]",1.8512928528692438,2.044857117054496,3.616865667400786,2.075947226623138,1.171875,118.27241895382059,118.27241895382059,150.8502407471432,50.8502407471432,365.1769346909933,230490602.01054332,126.56867252626427,-22.124092068895493,14.879064310312565,212.57612661372997,175.32642711766002,3225.5289999878687,47.62100001213139,38,
10,62,False,"[1.8667, 2.0413, 3.5971, 2.1000, 2.1000, 3.5971, 2.0413, 1.8667]",1.8666543177783812,2.0413282851833987,3.5970516887603385,2.09995229431907,1.171875,117.9649955160851,117.9649955160851,148.91728704127868,48.917287041278676,360.4976573778706,230165970.0044684,126.29143887102585,-22.401325724133912,15.06551161727685,214.3161757470243,177.3520308923721,3224.5725640359788,48.57743596402133,37,
11,48,False,"[1.8445, 2.0558, 3.6242, 2.0583, 2.0583, 3.6242, 2.0558, 1.8445]",1.8445407779121257,2.055823291509599,3.624193221613856,2.058271946345805,1.171875,115.18735349549694,115.18735349549694,151.06758237131035,51.06758237131034,365.7030733812666,227232844.57999322,127.08886691322469,-21.603897681935067,14.529219186121928,210.07007837147808,172.59968318545458,3227.9563773006703,45.19362269932981,38,
12,1,True,"[1.9030, 2.0424, 3.5463, 2.1520, 2.1520, 3.5463, 2.0424, 1.9030]",1.9029923667405568,2.0424157994940186,3.546293093018464,2.151967251728966,1.171875,115.06384319025558,115.06384319025558,144.44610496160342,44.446104961603424,349.6738591643962,227102420.56789845,125.97961308737055,-22.713151507789206,15.27522308811021,216.67683376244685,180.40812620095434,3223.839856672533,49.3101433274669,36,Pareto candidate
13,14,False,"[1.9681, 2.0081, 3.4994, 2.2019, 2.2019, 3.4994, 2.0081, 1.9681]",1.9681057592359599,2.008074115818934,3.499420507229299,2.2018751507347747,1.171875,114.2138050636489,114.2138050636489,141.28529237509917,41.28529237509916,342.0221918832872,226204800.0601286,126.20239370994415,-22.49037088521561,15.125396952870776,219.29509592391437,183.71517455455339,3222.4034674749923,50.74653252500775,36,
14,8,False,"[2.0399, 1.9990, 3.3650, 2.3494, 2.3494, 3.3650, 1.9990, 2.0399]",2.039882837736797,1.9989532293860324,3.364989670352292,2.349448555184045,1.171875,114.0384241414522,114.0384241414522,133.6302955384746,33.630295538474606,323.4910429370052,226019601.88194358,124.46845797717117,-24.22430661798859,16.291516728432082,226.6358041919292,194.08025080067014,3213.824849286469,59.325150713531,34,
15,61,False,"[1.8287, 2.0757, 3.6241, 2.0527, 2.0527, 3.6241, 2.0757, 1.8287]",1.8287146526188276,2.0756699802253,3.624086886606944,2.0526546447983613,1.171875,113.98726069186876,113.98726069186876,150.88792735307473,50.88792735307474,365.2681660948334,225965574.4681643,126.94765646328791,-21.745108131871845,14.624187122403997,209.4187801783382,171.84146048399225,3228.3530217114767,44.796978288523405,37,
16,63,False,"[1.9488, 2.0144, 3.5281, 2.1672, 2.1672, 3.5281, 2.0144, 1.9488]",1.9488304490906798,2.014351598145505,3.5281349808041154,2.167189672587984,1.171875,113.3689341708099,113.3689341708099,143.07369892990855,43.07369892990856,346.3515507257519,225312636.0311367,126.70198166346758,-21.99078293169218,14.789410225551771,216.72387224206938,180.70322829748187,3224.3811729904555,48.768827009544566,36,
17,51,False,"[1.8506, 2.0502, 3.6374, 2.0351, 2.0351, 3.6374, 2.0502, 1.8506]",1.8505570634108837,2.0501538584459573,3.6374152226231278,2.035072040491143,1.171875,112.48597808324996,112.48597808324996,152.16103755827828,52.16103755827828,368.35010007092393,224380254.92157644,128.05205299432208,-20.640711600837676,13.881449885631875,207.05446986269928,169.20817607305082,3230.5235604384666,42.626439561533516,38,
18,7,True,"[1.9415, 2.0689, 3.4263, 2.2827, 2.2827, 3.4263, 2.0689, 1.9415]",1.9415349059946523,2.0688517535483064,3.426321074511981,2.282677928442709,1.171875,112.3535771397128,112.3535771397128,135.8674810235158,35.86748102351579,328.9068018626534,224240442.6020497,123.92421475824081,-24.76854983691895,16.657535357793204,223.69499369282477,189.38195099994817,3218.8282827483868,54.321717251613336,34,Pareto candidate
19,64,False,"[1.8806, 2.0427, 3.6009, 2.0795, 2.0795, 3.6009, 2.0427, 1.8806]",1.8805680215998268,2.042658979450153,3.6009313848686477,2.07949546074901,1.171875,112.18933522581851,112.18933522581851,148.57213760861762,48.572137608617616,359.6621226700356,224067006.95777407,127.5201141774762,-21.172650417683556,14.239193464005826,210.41572095156613,173.05362823304552,3228.940908089153,44.20909191084729,36,
20,53,False,"[1.9168, 1.9943, 3.6297, 2.0429, 2.0429, 3.6297, 1.9943, 1.9168]",1.9168211305693068,1.9942735046029214,3.6297430471479264,2.042947711989485,1.171875,111.6117761783062,111.6117761783062,151.71633293370175,51.716332933701736,367.2735630309998,223457118.02542153,129.36396376060046,-19.328800834559303,12.99915358167232,206.7730120441342,169.00596155484527,3231.6075193525894,41.542480647410684,37,
21,75,False,"[1.9986, 1.9966, 3.4866, 2.2052, 2.2052, 3.4866, 1.9966, 1.9986]",1.9985599195663095,1.9965716362918686,3.4866057985964445,2.2052301363466733,1.171875,111.05908938754135,111.05908938754135,140.00321825692205,40.003218256922054,338.91855814559,222873493.61819115,126.94570447956082,-21.74706011559894,14.625499885491303,218.21642272217545,182.66719922795247,3223.9349017068266,49.21509829317347,35,
22,32,False,"[1.9696, 2.0593, 3.3922, 2.3179, 2.3179, 3.3922, 2.0593, 1.9696]",1.969636285821873,2.059311175621967,3.3921927030334587,2.3179299059762024,1.171875,111.0499254474717,111.0499254474717,133.78555617302484,33.78555617302485,323.86689651418493,222863816.71043724,123.85959888958755,-24.833165705572213,16.70099131802717,224.6914750214932,191.1483279680849,3217.735134775803,55.414865224197,34,
23,41,False,"[1.9317, 1.9987, 3.6070, 2.0647, 2.0647, 3.6070, 1.9987, 1.9317]",1.9317287373226997,1.9986711239614696,3.6070381432704686,2.0647066756893517,1.171875,110.00773676601703,110.00773676601703,149.44207292379102,49.44207292379101,361.76805442195746,221763289.68210992,129.2145263443737,-19.478238250786063,13.0996543805065,207.77001772975578,170.27737260829636,3231.4045438180674,41.745456181932695,38,
24,52,False,"[1.8496, 2.0478, 3.6592, 1.9989, 1.9989, 3.6592, 2.0478, 1.8496]",1.8496277748727048,2.047840340198139,3.659163070450491,1.998937882808756,1.171875,109.28202066744265,109.28202066744265,154.43081644739837,54.430816447398364,373.8447608222088,220996950.34683853,129.35795841241492,-19.334806182744842,13.003192344554893,202.34877909868777,164.2073079424679,3234.3747983587486,38.77520164125144,39,
25,72,True,"[1.9357, 1.9592, 3.6787, 1.9703, 1.9703, 3.6787, 1.9592, 1.9357]",1.9356893172535348,1.9591518134073609,3.678693639900312,1.9702903701866354,1.171875,108.6395917805744,108.6395917805744,157.9454292004439,57.94542920044391,382.3529044315676,220318560.371628,132.18620462543086,-16.506559969728897,11.101118480560029,198.45296713036612,160.06050795982202,3237.5745255173224,35.57547448267769,39,Pareto candidate
26,66,False,"[1.9826, 1.9831, 3.5683, 2.0985, 2.0985, 3.5683, 1.9831, 1.9826]",1.9826347070655619,1.9831496695938302,3.568288491658095,2.098474266372912,1.171875,107.51921263264805,107.51921263264805,146.12445466613883,46.12445466613884,353.7367933526758,219135466.0277648,129.57093371481193,-19.12183088034783,12.85996055854508,209.16873582610458,172.07981733695945,3231.2433789631946,41.90662103680552,36,
