trial,N_RUNS,L_RUN_mm,z_first_mm,side_mm,pathLength_mm,Vwork_V,initialTmax_K,Tmin_K,Tmean_K,U_pct,maxErosionTmax_K,lifetimeH,R_L_pct,eta_L_pct,initialP03sphere_W,initialPradSphere_W,lifeAvgP03sphere_W,lifeAvgPradSphere_W,lifeTotalP03sphere_J,eta_E_pct,objectiveScore,uPenalty_pctpt,U_limit_pct,selfViewLoss_pct,failureReached,erosionSteps,overtempStep,overtempTimeH,overtempTmax_K,runnerStatus,status,voltagePolicy,voltageObjective,voltageCandidateCount,voltageMaxSafe_V,voltageScanSummary,elapsed_sec
0,8,104.0,0.8,0.5700248399766747,846.0000000000001,100.0,3221.2704253670468,293.1498466674721,2975.986319115215,98.39160079103216,3221.2704253670468,11.327196174553045,4.6791297795610465,-95.32087022043895,3567.48255025997,3727.7862602539362,2813.529626339016,2948.5090187444384,114729847.27365224,8.648079670844721,8.648079670844721,0.0,178.4313175141917,0.0,True,21,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,100.0,,873.7
1,8,148.19795513309182,1.532613951604559,0.47870029549924725,1199.5836410647346,100.0,2730.10589917539,291.9921552103473,2534.958657132104,96.17962553769513,2730.10589917539,10.0,,,2111.6236901256952,2256.661240451371,nan,nan,0.0,,,,178.4313175141917,nan,False,1,,,,FAIL_EROSION_SOLVE,FAIL_EROSION_SOLVE,max_safe,lifeTotalP03sphere_J,1,100.0,,50.5
2,14,20.354787924954657,2.398982007523892,0.9588867413479194,298.96703094936515,,,,,,,,,,,,,,,,,,178.4313175141917,,,,,,,FAIL_Z_OVERLAP,FAIL_Z_OVERLAP,max_safe,lifeTotalP03sphere_J,1,,,0.0
3,10,54.874230091885124,2.5130050127639536,0.6989147111935319,562.7423009188512,54.765559549137635,3230.116031392827,292.08103135944066,2932.684125281086,100.18245656619386,3230.116031392827,18.97751940013488,7.839387152741042,-92.16061284725895,2792.4005305211317,2920.2520381621152,2106.725281307167,2212.1864196261618,143929511.62834093,36.299885496081835,36.299885496081835,0.0,178.4313175141917,0.0,True,21,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,54.765559549137635,,1139.2
4,4,128.81200713509799,2.4430797384944345,0.7206913978895608,529.2480285403918,57.821388901360734,3272.4248844657427,291.20392849595436,2993.620026867884,99.58581681085732,3272.4248844657427,8.614026135457573,3.5583515630183844,-96.44164843698161,2953.0531171332805,3081.294094937769,2339.0342351830727,2447.301225849051,72534607.32094921,-31.310413267587922,-31.310413267587922,0.0,178.4313175141917,0.0,True,21,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,57.821388901360734,,754.1
5,16,32.36082099881756,1.8263344216224318,0.718978271957433,531.7731359810812,,,,,,,,,,,,,,,,,,178.4313175141917,,,,,,,FAIL_Z_OVERLAP,FAIL_Z_OVERLAP,max_safe,lifeTotalP03sphere_J,1,,,0.0
6,14,176.2393941490315,2.7604972639435355,0.33283946602920866,2481.35151808644,100.0,1956.7673526677804,292.8538768626172,1829.328470048225,90.95761111514867,1956.7673526677804,0.0,0.0,-100.0,679.0003005848623,789.8379120074808,nan,nan,0.0,-100.0,-100.0,0.0,178.4313175141917,nan,False,1,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,100.0,,46.4
7,12,255.76523242912893,1.7074014091290732,0.29859279658007226,3083.1827891495473,100.0,1747.5356708085433,292.9510805124379,1639.6087630321072,88.71534619064619,1747.5356708085433,0.0,0.0,-100.0,442.90385949917544,540.1718526684006,nan,nan,0.0,-100.0,-100.0,0.0,178.4313175141917,nan,False,1,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,100.0,,57.3
8,14,124.58422416767765,1.5393347889909617,0.3954097751411485,1758.1791383474863,67.67578125,1987.0007598415,292.76373740233083,1851.3009269182946,91.5160251801647,1987.0007598415,0.0,0.0,-100.0,609.6159646402224,705.4173280423486,nan,nan,0.0,-100.0,-100.0,0.0,178.4313175141917,nan,False,1,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,67.67578125,,209.1
9,10,274.047602270639,1.7509535613625782,0.315907156709952,2754.4760227063903,100.0,1840.9111221539433,292.88047137421,1725.5224797510941,89.71373418461846,1840.9111221539433,0.0,0.0,-100.0,538.8561494914501,641.8402151235541,nan,nan,0.0,-100.0,-100.0,0.0,178.4313175141917,nan,False,1,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,100.0,,41.8
10,8,211.21891018243238,0.6379342341318226,0.40167598293355533,1703.7512814594595,66.9921875,1988.2086380831388,293.1404890531993,1851.3300351251794,91.55947977235327,1988.2086380831388,0.0,0.0,-100.0,604.1281040343753,698.570464285368,nan,nan,0.0,-100.0,-100.0,0.0,178.4313175141917,nan,False,1,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,66.9921875,,175.2
