trial,N_RUNS,L_RUN_mm,z_first_mm,side_mm,pathLength_mm,maxLifetimeCap_h,Vwork_V,initialTmax_K,Tmin_K,Tmean_K,U_pct,maxErosionTmax_K,lifetimeH,R_L_pct,eta_L_pct,initialP03sphere_W,initialPradSphere_W,lifeAvgP03sphere_W,lifeAvgPradSphere_W,lifeTotalP03sphere_J,eta_E_pct,objectiveScore,uPenalty_pctpt,U_limit_pct,selfViewLoss_pct,failureReached,capLimited,erosionSteps,overtempStep,overtempTimeH,overtempTmax_K,runnerStatus,status,voltagePolicy,voltageObjective,voltageCandidateCount,voltageMaxSafe_V,voltageScanSummary,elapsed_sec
0,12,89.09934228871522,2.10495899560028,0.5037629452411698,1083.1921074645827,500.0,100.0,2910.1918795183933,291.9979423539589,2691.0571229513503,97.29239542462759,2910.1918795183933,384.8173914102409,158.96347940771028,58.963479407710274,2609.6712593495217,2762.713784520933,1998.6981756412224,2125.3769281580735,2768881745.3999853,2522.1048107544357,2522.1048107544357,0.0,178.4313175141917,0.0,True,False,41,,,,OK,OK,max_safe,lifeTotalP03sphere_J,1,100.0,,2034.1
1,8,84.02176270804154,1.9192055098930927,0.6329389199818793,686.1741016643324,500.0,78.57636639959429,3272.7080220364905,291.2980241628529,3006.0021664882,99.18189784130153,3272.7080220364905,8.12970822647079,3.3582856053186436,-96.64171439468136,3380.2795992206147,3527.142486990234,2651.0906663668034,2774.4927232114615,77589336.95813566,-26.52363213446482,-26.52363213446482,0.0,178.4313175141917,0.0,True,False,22,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,78.57636639959429,,1277.3
2,12,80.27202515366109,1.6240427395727155,0.5303626664798899,977.2643018439328,500.0,100.0,3050.539052370963,291.58967203542073,2817.180087867526,97.93301437196862,3050.539052370963,74.40315511098652,30.735056885059546,-69.26494311494045,3026.294630811057,3183.5074105517815,2336.337899642393,2467.1946822079813,625791280.0995699,492.6184203436323,492.6184203436323,0.0,178.4313175141917,0.0,True,False,22,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,100.0,,1504.6
3,10,114.28419159365717,2.2039820827349605,0.48746333435120376,1156.841915936572,500.0,100.0,2798.096870735337,291.85877766187684,2593.1290071060344,96.64918660836138,2798.096870735337,10.0,,,2291.863621997851,2440.122055560991,nan,nan,0.0,,,,178.4313175141917,nan,False,,1,,,,FAIL_EROSION_SOLVE,FAIL_EROSION_SOLVE,max_safe,lifeTotalP03sphere_J,1,100.0,,85.8
4,10,87.13799844981263,2.363543636275469,0.5572038556958796,885.3799844981261,500.0,100.0,3192.9761023779433,291.1035136696052,2944.0532845030134,98.56725773216446,3192.9761023779433,16.614246362801296,6.863147218708329,-93.13685278129168,3484.8479678967074,3645.937064285356,2703.4650158213185,2838.00159705198,161697721.7018516,53.126212293767985,53.126212293767985,0.0,178.4313175141917,0.0,True,False,21,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,100.0,,1236.2
5,10,102.06930652458938,1.9238558844668632,0.5154341552312053,1034.6930652458939,500.0,100.0,2949.7687781907343,291.7183539678529,2729.363720156925,97.38718238952984,2949.7687781907343,218.67099588889732,90.33038300233945,-9.669616997660553,2712.944359763594,2866.2095530179595,2106.3800616781036,2234.155002207863,1658175212.9076045,1470.276235184866,1470.276235184866,0.0,178.4313175141917,0.0,True,False,27,,,,OK,OK,max_safe,lifeTotalP03sphere_J,1,100.0,,1417.1
6,8,80.84271865939877,1.6667569416221113,0.645005010730275,660.7417492751902,500.0,74.98463705185829,3273.0066679650604,291.23472228730253,3004.0234681156708,99.2592760118525,3273.0066679650604,8.25942981595465,3.411872048340575,-96.58812795165942,3313.073222285376,3457.055308502332,2600.5009244763996,2721.5393024576674,77323157.53933683,-26.775701525191153,-26.775701525191153,0.0,178.4313175141917,0.0,True,False,21,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,74.98463705185829,,1446.9
7,10,96.60063711369358,2.173280914422988,0.5296201662618389,980.0063711369357,500.0,100.0,3033.1500777902006,291.3318284424618,2803.0824796196057,97.8143978738656,3033.1500777902006,85.67149533819291,35.38987397402266,-64.61012602597734,2964.861661068391,3120.9574442570106,2302.3434796577853,2432.605461374016,710082751.2639148,572.44164587964,572.44164587964,0.0,178.4313175141917,0.0,True,False,22,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,100.0,,1276.9
8,8,73.26390604773866,2.1342711388301874,0.676804253225664,600.1112483819094,500.0,65.52076752325586,3273.1026165619505,291.6263085425851,2993.3361149848697,99.60379300853876,3273.1026165619505,9.11769847044155,3.7664126034953815,-96.23358739650462,3125.4453436725867,3261.918621829659,2440.9820064057762,2555.443945460145,80122096.46225265,-24.125132851762594,-24.125132851762594,0.0,178.4313175141917,0.0,True,False,22,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,65.52076752325586,,1514.0
9,8,77.00274295920246,2.0118031802492395,0.6605430459384647,630.0219436736198,500.0,70.03439533026716,3272.4262223978967,290.87609643752353,2997.963765542435,99.45250707260995,3272.4262223978967,8.752709915221846,3.6156401800633438,-96.38435981993665,3215.263826721187,3355.420945024512,2516.2427264284765,2633.9007149382214,79286193.57857537,-24.916724972392164,-24.916724972392164,0.0,178.4313175141917,0.0,True,False,21,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,70.03439533026716,,1449.5
10,12,107.74552663823724,2.4500748790085916,0.45861693525620756,1306.946319658847,500.0,100.0,2659.6301985291548,292.4369085937238,2466.253350962614,95.98337855320021,2659.6301985291548,10.0,,,1951.4286200141821,2095.54256365186,nan,nan,0.0,,,,178.4313175141917,nan,False,,1,,,,FAIL_EROSION_SOLVE,FAIL_EROSION_SOLVE,max_safe,lifeTotalP03sphere_J,1,100.0,,82.5
11,14,99.30838919583618,1.8495814088879503,0.4424317819719875,1404.317448741707,500.0,100.0,2573.388537072243,292.3483467510312,2388.678429237588,95.49381626262971,2573.388537072243,30.0,,,1754.1421975809058,1895.098788854286,nan,nan,126258546.94767115,,,,178.4313175141917,nan,False,,3,,,,FAIL_EROSION_SOLVE,FAIL_EROSION_SOLVE,max_safe,lifeTotalP03sphere_J,1,100.0,,162.8
12,12,104.78940873973148,1.807202707815223,0.4649705085291069,1271.4729048767779,500.0,100.0,2683.1989281173023,291.96767075698824,2489.025382087144,96.07098724542432,2683.1989281173023,10.0,,,2004.937926991166,2149.4559830904564,nan,nan,0.0,,,,178.4313175141917,nan,False,,1,,,,FAIL_EROSION_SOLVE,FAIL_EROSION_SOLVE,max_safe,lifeTotalP03sphere_J,1,100.0,,76.8
13,14,90.90504513668803,2.0022306607299094,0.4622163126922396,1286.6706319136322,500.0,100.0,2692.2365221999917,292.41117690864263,2494.621117619184,96.19999319101787,2692.2365221999917,10.0,,,2037.2574309000147,2183.2223987248412,nan,nan,0.0,,,,178.4313175141917,nan,False,,1,,,,FAIL_EROSION_SOLVE,FAIL_EROSION_SOLVE,max_safe,lifeTotalP03sphere_J,1,100.0,,86.6
14,10,118.24204203163703,2.2759738220956334,0.4793326965889456,1196.4204203163702,500.0,100.0,2753.787324213966,291.97613816873655,2553.2565713770705,96.41848036907152,2753.787324213966,10.0,,,2176.753023554951,2323.455140442842,nan,nan,0.0,,,,178.4313175141917,nan,False,,1,,,,FAIL_EROSION_SOLVE,FAIL_EROSION_SOLVE,max_safe,lifeTotalP03sphere_J,1,100.0,,80.2
15,12,103.10959828399207,1.7733929299171172,0.4687007046001254,1251.3151794079051,500.0,100.0,2703.6844650307125,291.98278549642754,2507.494359020858,96.17974496564855,2703.6844650307125,10.0,,,2055.2436320772927,2200.5232545585427,nan,nan,0.0,,,,178.4313175141917,nan,False,,1,,,,FAIL_EROSION_SOLVE,FAIL_EROSION_SOLVE,max_safe,lifeTotalP03sphere_J,1,100.0,,78.7
16,10,91.35453626061368,2.067742021135916,0.5443915601959598,927.5453626061369,500.0,100.0,3113.8995987278936,291.0227270352278,2875.048176042971,98.1853763430806,3113.8995987278936,36.162887080741854,14.938457783095602,-85.0615422169044,3219.7686489224857,3378.2611386013236,2504.198052276031,2636.65250890872,326012513.0121785,208.73076474123255,208.73076474123255,0.0,178.4313175141917,0.0,True,False,22,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,1,100.0,,1304.5
17,12,110.52191617005977,1.9158945117641186,0.4528808423175685,1340.2629940407166,500.0,100.0,2616.6051946264975,292.39790029865935,2429.029608122386,95.68460123153565,2616.6051946264975,20.0,,,1846.6336733383773,1988.6110954322198,nan,nan,66458657.006251454,,,,178.4313175141917,nan,False,,2,,,,FAIL_EROSION_SOLVE,FAIL_EROSION_SOLVE,max_safe,lifeTotalP03sphere_J,1,100.0,,105.9
18,14,99.61375287482562,2.105936845483771,0.44175987948328077,1408.5925402475586,500.0,100.0,2575.4768058968534,292.08609952116836,2389.8889274457556,95.54380038975732,2575.4768058968534,30.0,,,1760.886218092452,1902.1879622652305,nan,nan,126741274.57777593,,,,178.4313175141917,nan,False,,3,,,,FAIL_EROSION_SOLVE,FAIL_EROSION_SOLVE,max_safe,lifeTotalP03sphere_J,1,100.0,,111.6
19,12,92.01113160151677,2.266631002891225,0.49582922105223914,1118.1335792182015,500.0,100.0,2868.8820158586905,292.13949256475706,2653.752803292901,97.09806128500705,2868.8820158586905,500.0,206.54404264988725,106.54404264988725,2494.22096250006,2645.9925637286265,1945.3632226460882,2071.926135375233,3501653800.7629585,3216.033012905267,3216.033012905267,0.0,178.4313175141917,0.0,False,True,50,,,,OK,OK,max_safe,lifeTotalP03sphere_J,1,100.0,,2149.3
