trial,r1_mm,r2_mm,r3_mm,r4_mm,Vwork_V,initialTmax_K,lifetimeH,initialP03sphere_W,initialPradSphere_W,lifeAvgP03sphere_W,lifeAvgPradSphere_W,selfViewLoss_pct,failureReached,erosionSteps,status,elapsed_sec
0,2.5,2.5,2.5,2.5,0.634765625,3196.221753,115.5037036,504.0710382,527.8338992,428.5727416,449.7719199,-5.654902796,TRUE,13,OK,547.8
1,1.96831564,2.055700592,3.900273546,1.299113115,0.87890625,3254.208629,43.19693253,474.8101216,502.2253051,422.5208605,448.6347083,3.021260331,TRUE,12,OK,512.9
2,3.313229209,2.873060221,2.207992362,0.944884599,0.78125,3231.849724,114.8550141,296.1332422,317.9206597,247.4545277,267.7084308,-3.965036174,TRUE,13,OK,346.7
3,4.397987495,1.968015948,0.911703338,0.976430362,0.927734375,3214.629328,37.13441003,262.980908,286.1183739,240.1794162,262.4253831,-4.748371074,TRUE,12,OK,461.4
4,2.301868,1.835055647,1.2417634,3.84603668,0.9765625,3242.544012,58.02677431,519.8003505,546.6131078,444.2525304,469.2988371,1.912866914,TRUE,12,OK,305
5,1.297913092,4.122287922,1.168186019,2.226545602,1.171875,3213.524041,53.86116119,548.8905229,579.1800372,485.5595121,514.1989388,4.304401298,TRUE,12,OK,381.7
6,1.538057558,1.696846856,1.192437503,4.281726579,1.025390625,3258.125977,23.14680053,465.2236808,490.0718723,421.3235277,444.7707212,-0.060418113,TRUE,13,OK,430.2
7,2.205903593,1.035892469,2.001021398,3.880313066,1.025390625,3256.353442,48.3606468,465.3831347,490.9748204,394.4926017,418.4201239,1.450424891,TRUE,12,OK,320.3
8,3.925324967,0.831030415,1.962335239,2.247321242,1.171875,3234.716375,80.39855421,442.8226174,470.736327,370.3006022,396.2653928,0.327714537,TRUE,12,OK,423
9,4.013783052,1.505213837,1.106520752,2.32368,1.025390625,3237.321486,53.1388711,469.7982692,498.5001176,407.0176014,433.9875476,0.546572338,TRUE,11,OK,312.1
10,0.919784677,4.051787643,1.502659301,2.340732379,0.9765625,3207.230781,62.19159092,362.8060334,388.4122137,321.6165166,345.9625555,0.878094464,TRUE,11,OK,298.5
11,1.112736553,4.486507987,1.341006382,1.354535098,1.171875,3215.642591,36.11474431,492.0075065,521.8263484,456.7299239,485.5737031,0.11288625,TRUE,14,OK,503.3
12,0.924156331,4.466371312,1.433770282,1.463477078,1.123046875,3262.344832,26.06506927,416.6809855,444.5992008,380.0351436,406.8959344,-1.154175694,TRUE,11,OK,468.8
